mysql> select story_url,completed from dwg_stories ORDER by 1;
+----------------------------------------------------+-----------+
| story_url                                          | completed |
| /derby/crose1.htm                                  |      NULL |
| /derby/crysty16.htm                                |      NULL |
| /derby/danihard.htm                                |         1 |
| /derby/dantes2.htm                                 |      NULL |
| /derby/debra2e.htm                                 |         1 |
| /derby/denver1c.htm                                |         1 |
| /derby/denver2.htm                                 |      NULL |
| /derby/ecmatton.htm                                |         1 |
| /derby/eds20.htm                                   |         1 |
| /derby/eds21.htm                                   |         1 |
| /derby/elena.htm                                   |      NULL |
| /derby/elizahoo.htm                                |         1 |
| /derby/ellerobbie1.htm                             |      NULL |
| /derby/elnr2f.htm                                  |      NULL |
| /derby/emi.htm                                     |      NULL |
| /derby/fay2.htm                                    |      NULL |
| /derby/femme1.htm                                  |         1 |
| /derby/florence1.htm                               |         1 |
| /derby/florence2.htm                               |         1 |
| /derby/ginger1f.htm                                |         1 |
| /derby/gracecs1k.htm                               |         1 |
| /derby/hallow2005/amyi1.htm                        |         1 |
| /derby/hallow2005/kathar1.htm                      |         1 |
| /derby/hallow2005/leah1.htm                        |         1 |
| /derby/hallow2005/lise1.htm                        |         1 |
| /derby/hallow2005/michelea2.htm                    |         1 |
| /derby/hallow2005/shem1.htm                        |         1 |
| /derby/hallow2005/shem2.htm                        |         1 |
| /derby/hallow2005/sietske1.htm                     |         1 |
| /derby/hallow2006/amyi2.htm                        |         1 |
| /derby/hallow2006/carr6.htm                        |         1 |
| /derby/hallow2006/cindyc11.htm                     |         1 |
| /derby/hallow2006/jimmy30.htm                      |         1 |
| /derby/hallow2006/kathar3.htm                      |         1 |
| /derby/hallow2006/kay1.htm                         |         1 |
| /derby/hallow2006/lydia1.htm                       |         1 |
| /derby/hallow2006/mari4.htm                        |         1 |
| /derby/hallow2006/marys1.htm                       |         1 |
| /derby/hallow2006/mege2.htm                        |         1 |
| /derby/hallow2006/pj1.htm                          |         1 |
| /derby/hallow2006/shem3.htm                        |         1 |
| /derby/hallow2006/sofie18.htm                      |         1 |
| /derby/hallow2007/cindy07.htm                      |         1 |
| /derby/hallow2007/jenkel07.htm                     |         1 |
| /derby/hallow2007/kath07.htm                       |         1 |
| /derby/hallow2007/kay07.htm                        |         1 |
| /derby/hallow2007/kaylee07.htm                     |         1 |
| /derby/hallow2007/lise07.htm                       |         1 |
| /derby/hallow2007/lydia07.htm                      |         1 |
| /derby/hallow2007/mari07.htm                       |         1 |
| /derby/hallow2007/maryl07.htm                      |         1 |
| /derby/hallow2007/marys07.htm                      |         1 |
